"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606903","0:4862","1","","82.02","100.28"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606904","0:4892","1","","73.96","89.56"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606905","0:4947","1","","81.20","90.47"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606908","0:4977","1","","80.38","100.28"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606909","0:5007","1","","46.62","55.77"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606910","0:5062","1","","80.73","90.47"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606912","0:5092","1","","82.02","100.28"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606913","0:5122","1","","73.45","89.56"
"L1_43_High","IFCBEAM","Concrete-Rectangular Beam:CB24 x51:606916","0:5152","1","","55.23","138.72"
"L1_43_High","IFCBEAM","Concrete-Rectangular Beam:CB24 x51:606917","0:5196","1","","87.65","185.83"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607039","0:5224","1","","64.39","55.32"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607517","0:5284","1","","68.08","57.35"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607710","0:5314","1","","47.85","40.18"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607773","0:5344","1","","68.08","57.35"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607793","0:5375","1","","68.08","57.22"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607815","0:5406","1","","95.14","82.40"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607834","0:5436","1","","77.10","66.63"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607908","0:5466","1","","66.16","55.95"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:607933","0:5496","1","","56.05","46.80"
"L1_43_High","IFCBEAM","Concrete-Rectangular Beam:CB24x24:608011","0:5533","1","","57.45","48.84"
"M1","IFCBEAM","W Shapes:W18x55:608386","0:6214","1","","56.87","2.39"
"M1","IFCBEAM","W Shapes:W18x55:608446","0:6291","1","","56.87","2.34"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:610662","0:6431","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:610663","0:6493","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:610664","0:6526","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:610665","0:6559","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:610666","0:6703","1","","73.00","0.41"
"M1","IFCBEAM","W Shapes:W18x55:610797","0:6740","1","","55.23","2.31"
"M1","IFCBEAM","W Shapes:W18x55:610822","0:6772","1","","56.87","2.41"
"L1_43_High","IFCBEAM","W Shapes:W18x55:611336","0:6805","1","","30.62","1.22"
"L1_43_High","IFCBEAM","W Shapes:W18x55:611337","0:6840","1","","68.21","2.90"
"L1_43_High","IFCBEAM","W Shapes:W18x55:611338","0:6871","1","","67.53","2.92"
"M1","IFCBEAM","W Shapes:W18x55:611339","0:6902","1","","64.39","2.76"
"M1","IFCBEAM","W Shapes:W18x55:611340","0:6935","1","","46.48","2.00"
"M1","IFCBEAM","W Shapes:W18x55:611341","0:6967","1","","66.98","2.84"
"M1","IFCBEAM","W Shapes:W18x55:611346","0:7000","1","","95.14","4.04"
"M1","IFCBEAM","W Shapes:W18x55:611347","0:7033","1","","78.74","3.34"
"M1","IFCBEAM","W Shapes:W18x55:611348","0:7066","1","","66.16","2.83"
"L1_43_High","IFCBEAM","W Shapes:W18x55:611454","0:7099","1","","30.76","1.23"
"L1_43_High","IFCBEAM","W Shapes:W18x55:611455","0:7129","1","","67.94","2.84"
"M1","IFCBEAM","W Shapes:W18x55:611457","0:7160","1","","64.39","2.73"
"M1","IFCBEAM","W Shapes:W18x55:611459","0:7193","1","","78.74","3.29"
"M1","IFCBEAM","W Shapes:W18x55:611461","0:7226","1","","66.16","2.78"
"M1","IFCBEAM","W Shapes:W18x55:614866","0:7259","1","","46.21","1.87"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:614941","0:7287","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:614942","0:7320","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:614943","0:7353","1","","73.00","0.41"
"M1","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:614944","0:7386","1","","73.00","0.41"
"M1","IFCBEAM","W Shapes:W18x55:615608","0:7423","1","","73.55","3.08"
"M1","IFCBEAM","W Shapes:W18x55:616338","0:7455","1","","55.23","2.31"
"M1","IFCBEAM","W Shapes:W18x55:617200","0:7487","1","","54.82","2.33"
"M1","IFCBEAM","W Shapes:W8x10:617679","0:7577","1","","31.30","0.23"
"M1","IFCBEAM","W Shapes:W8x10:617718","0:7648","1","","21.74","0.15"
"L2","IFCBEAM","W Shapes:W18x55:626834","0:7752","1","","64.39","2.76"
"L2","IFCBEAM","W Shapes:W18x55:626984","0:7786","1","","66.98","2.84"
"L2","IFCBEAM","W Shapes:W18x55:627003","0:7819","1","","56.87","2.39"
"L2","IFCBEAM","W Shapes:W18x55:627022","0:7852","1","","79.07","3.27"
"L2","IFCBEAM","W Shapes:W18x55:627308","0:7885","1","","95.14","4.04"
"L2","IFCBEAM","W Shapes:W18x55:627327","0:7918","1","","78.74","3.34"
"L2","IFCBEAM","W Shapes:W18x55:627348","0:7951","1","","66.16","2.83"
"L2","IFCBEAM","W Shapes:W18x55:627369","0:7984","1","","55.23","2.39"
"L2","IFCBEAM","W Shapes:W18x55:627539","0:8016","1","","53.89","2.22"
"L2","IFCBEAM","W Shapes:W18x55:627632","0:8048","1","","54.82","2.33"
"L2","IFCBEAM","W Shapes:W18x86:627651","0:8080","1","","49.90","3.22"
"L2","IFCBEAM","W Shapes:W18x55:627672","0:8150","1","","95.14","4.04"
"L2","IFCBEAM","W Shapes:W18x55:627704","0:8183","1","","66.16","2.78"
"L2","IFCBEAM","W Shapes:W18x55:627724","0:8216","1","","56.87","2.34"
"L2","IFCBEAM","W Shapes:W18x55:627740","0:8250","1","","98.64","4.10"
"L2","IFCBEAM","W Shapes:W18x55:627866","0:8284","1","","74.18","3.07"
"L2","IFCBEAM","W Shapes:W18x55:627885","0:8317","1","","55.29","2.25"
"L2","IFCBEAM","W Shapes:W18x55:627904","0:8350","1","","50.33","2.03"
"L2","IFCBEAM","W Shapes:W18x55:627923","0:8383","1","","42.90","1.72"
"L2","IFCBEAM","W Shapes:W18x55:627954","0:8415","1","","62.09","2.50"
"L2","IFCBEAM","W Shapes:W18x55:628064","0:8448","1","","64.39","2.73"
"L2","IFCBEAM","W Shapes:W18x55:628080","0:8481","1","","78.74","3.29"
"L2","IFCBEAM","W Shapes:W18x55:628098","0:8513","1","","66.16","2.78"
"L2","IFCBEAM","W Shapes:W18x55:628118","0:8546","1","","56.87","2.34"
"L2","IFCBEAM","W Shapes:W18x55:628134","0:8579","1","","69.38","2.81"
"L2","IFCBEAM","W Shapes:W18x55:629556","0:8612","1","","49.90","2.09"
"L2","IFCBEAM","W Shapes:W18x55:629591","0:8643","1","","49.90","2.09"
"L2","IFCBEAM","W Shapes:W18x55:629792","0:8674","1","","22.36","0.86"
"L2","IFCBEAM","W Shapes:W18x55:630261","0:8762","1","","50.17","1.98"
"L2","IFCBEAM","W Shapes:W18x55:630470","0:8858","1","","50.17","2.01"
"L2","IFCBEAM","W Shapes:W18x55:630588","0:8889","1","","50.17","2.01"
"L2","IFCBEAM","W Shapes:W18x55:630633","0:8920","1","","95.14","4.07"
"L2","IFCBEAM","W Shapes:W18x55:630668","0:8953","1","","66.16","2.83"
"L2","IFCBEAM","W Shapes:W18x55:630688","0:8986","1","","56.87","2.38"
"L2","IFCBEAM","W Shapes:W18x55:630745","0:9019","1","","25.84","0.91"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630773","0:9158","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630774","0:9192","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630775","0:9224","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630776","0:9256","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630777","0:9288","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630778","0:9320","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630779","0:9352","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630856","0:9495","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630857","0:9528","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630858","0:9559","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630859","0:9590","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630860","0:9621","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630861","0:9652","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630862","0:9683","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630945","0:9714","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630946","0:9746","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630947","0:9777","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630948","0:9808","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630949","0:9839","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630950","0:9870","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630951","0:9901","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630952","0:9932","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:630953","0:9963","1","","48.67","0.26"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631151","0:10105","1","","43.16","0.23"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631152","0:10250","1","","43.86","0.23"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631153","0:10393","1","","44.58","0.24"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631154","0:10536","1","","45.28","0.24"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631155","0:10679","1","","45.98","0.25"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631245","0:10711","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631246","0:10744","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631247","0:10776","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:631248","0:10808","1","","49.90","0.27"
"L1_43_High","IFCBEAM","W Shapes:W18x55:631696","0:10844","1","","68.08","2.89"
"L2","IFCBEAM","W Shapes:W18x55:631993","0:10875","1","","73.55","3.08"
"L2","IFCBEAM","W Shapes:W18x55:632021","0:10907","1","","47.85","2.01"
"L2","IFCBEAM","W Shapes:W18x55:632060","0:10939","1","","54.82","2.30"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632146","0:10967","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632147","0:11000","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632148","0:11032","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632149","0:11064","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632150","0:11096","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632151","0:11128","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632152","0:11160","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632153","0:11192","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:632154","0:11224","1","","49.90","0.27"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:633120","0:11256","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:633121","0:11290","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:633122","0:11323","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:633123","0:11356","1","","73.00","0.41"
"L2","IFCBEAM","W Shapes:W18x55:633435","0:11393","1","","47.85","2.00"
"L2","IFCBEAM","W Shapes:W36x232:640539","0:11441","1","","202.59","36.55"
"M1","IFCBEAM","SF_Steel L Angle:_Size:644370","0:11785","1","","31.44","0.14"
"M1","IFCBEAM","W Shapes:W8x10:648877","0:11861","1","","21.39","0.15"
"L2","IFCBEAM","W Shapes:W18x86:648901","0:11893","1","","119.45","8.04"
"L2","IFCBEAM","W Shapes:W18x86:648977","0:11925","1","","30.21","2.00"
"L2","IFCBEAM","W Shapes:W18x86:648999","0:11955","1","","68.08","4.54"
"L2","IFCBEAM","W Shapes:W18x86:651162","0:11986","1","","98.02","6.55"
"L2","IFCBEAM","W Shapes:W18x55:651438","0:12018","1","","54.27","2.34"
"L2","IFCBEAM","W Shapes:W8x10:651504","0:12049","1","","30.09","0.22"
"L2","IFCBEAM","W Shapes:W18x86:651615","0:12081","1","","50.06","3.49"
"L2","IFCBEAM","W Shapes:W8x10:651661","0:12112","1","","37.44","0.25"
"L2","IFCBEAM","W Shapes:W8x10:651663","0:12144","1","","47.03","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651665","0:12175","1","","47.03","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651667","0:12206","1","","47.03","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651669","0:12237","1","","47.03","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651671","0:12268","1","","47.03","0.35"
"L2","IFCBEAM","W Shapes:W18x86:651713","0:12299","1","","119.05","8.01"
"L2","IFCBEAM","W Shapes:W18x86:651714","0:12332","1","","97.75","6.53"
"L2","IFCBEAM","W Shapes:W18x86:651715","0:12365","1","","49.79","3.47"
"L2","IFCBEAM","W Shapes:W8x10:651723","0:12396","1","","37.32","0.25"
"L2","IFCBEAM","W Shapes:W8x10:651724","0:12428","1","","46.75","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651725","0:12459","1","","46.75","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651726","0:12490","1","","46.75","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651727","0:12521","1","","46.75","0.35"
"L2","IFCBEAM","W Shapes:W8x10:651728","0:12552","1","","46.75","0.35"
"L2","IFCBEAM","W Shapes:W18x86:652305","0:12583","1","","28.74","1.39"
"L2","IFCBEAM","W Shapes:W18x86:652306","0:12616","1","","97.75","6.53"
"L2","IFCBEAM","W Shapes:W18x86:652307","0:12649","1","","50.61","3.53"
"L2","IFCBEAM","W Shapes:W8x10:652459","0:12679","1","","20.82","0.12"
"L2","IFCBEAM","W Shapes:W8x10:652607","0:12710","1","","17.63","0.12"
"L2","IFCBEAM","W Shapes:W8x10:652668","0:12741","1","","17.91","0.12"
"L1_43_High","IFCBEAM","W Shapes:W18x55:664019","0:12786","1","","20.83","0.86"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664150","0:12924","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664151","0:12982","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664152","0:13012","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664153","0:13042","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664154","0:13072","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664155","0:13102","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664156","0:13132","1","191.06","73.00","1.73"
"L1_43_High","IFCBEAM","LH-Series Bar Joist:18LH04:664157","0:13162","1","191.06","73.00","1.73"
"L2","IFCBEAM","W Shapes:W18x55:664381","0:13196","1","","67.94","2.84"
"L2","IFCBEAM","W Shapes:W18x55:664383","0:13227","1","","68.08","2.89"
"L2","IFCBEAM","W Shapes:W18x86:664663","0:13258","1","","68.08","4.57"
"L2","IFCBEAM","W Shapes:W18x55:664694","0:13288","1","","20.28","0.84"
"L2","IFCBEAM","W Shapes:W18x55:664733","0:13318","1","","24.88","0.96"
"L2","IFCBEAM","W Shapes:W18x55:664780","0:13348","1","","30.21","1.25"
"L2","IFCBEAM","W Shapes:W18x55:664857","0:13378","1","","20.23","0.83"
"L2","IFCBEAM","W Shapes:W18x55:664858","0:13408","1","","24.06","1.02"
"L1_43_High","IFCBEAM","W Shapes:W18x55:664895","0:13438","1","","21.05","0.83"
"L1_43_High","IFCBEAM","W Shapes:W18x55:664896","0:13466","1","","24.88","1.04"
"L1_43_High","IFCBEAM","W Shapes:W18x55:665215","0:13495","1","","22.97","0.99"
"L2","IFCBEAM","W Shapes:W8x10:665857","0:13567","1","","21.24","0.15"
"L2","IFCBEAM","W Shapes:W8x10:665858","0:13599","1","","29.12","0.21"
"L2","IFCBEAM","W Shapes:W8x10:665859","0:13630","1","","36.08","0.26"
"L2","IFCBEAM","W Shapes:W8x10:665860","0:13661","1","","44.90","0.33"
"L2","IFCBEAM","W Shapes:W8x10:665861","0:13692","1","","47.57","0.36"
"L2","IFCBEAM","W Shapes:W8x10:669299","0:13731","1","","39.06","0.29"
"L2","IFCBEAM","W Shapes:W8x10:670498","0:14018","1","","23.35","0.16"
"L2","IFCBEAM","W Shapes:W18x55:684433","0:16273","1","","46.21","1.87"
"L2","IFCBEAM","W Shapes:W8x10:685223","0:16305","1","","27.61","0.20"
"L2","IFCBEAM","W Shapes:W8x10:685224","0:16337","1","","27.61","0.20"
"L2","IFCBEAM","W Shapes:W8x10:685225","0:16368","1","","27.61","0.20"
"L2","IFCBEAM","W Shapes:W8x10:686120","0:16459","1","","10.87","0.08"
"L2","IFCBEAM","W Shapes:W8x10:686245","0:16490","1","","10.66","0.08"
"L2","IFCBEAM","W Shapes:W8x10:686375","0:16520","1","","9.82","0.06"
"L2","IFCBEAM","C Shapes:C8X11.5:686385","0:16564","1","","6.56","0.05"
"L2","IFCBEAM","C Shapes:C8X11.5:686634","0:18091","1","","25.53","0.23"
"L2","IFCBEAM","C Shapes:C8X11.5:687059","0:18128","1","","9.57","0.09"
"L5","IFCBEAM","W Shapes:W18x55:701209","0:18733","1","","64.39","2.69"
"L5","IFCBEAM","W Shapes:W18x55:701210","0:18767","1","","78.74","3.29"
"L5","IFCBEAM","W Shapes:W18x55:701211","0:18800","1","","66.16","2.78"
"L5","IFCBEAM","W Shapes:W18x55:701212","0:18833","1","","56.87","2.34"
"L5","IFCBEAM","W Shapes:W18x55:701213","0:18866","1","","69.38","2.81"
"L5","IFCBEAM","W Shapes:W18x55:701214","0:18899","1","","67.94","2.84"
"L5","IFCBEAM","W Shapes:W18x55:701215","0:18932","1","","68.08","2.85"
"L5","IFCBEAM","W Shapes:W18x55:701216","0:18965","1","","30.21","1.25"
"L5","IFCBEAM","W Shapes:W18x55:701423","0:18996","1","","64.39","2.72"
"L5","IFCBEAM","W Shapes:W18x55:701424","0:19029","1","","65.07","2.83"
"L5","IFCBEAM","W Shapes:W18x55:701425","0:19061","1","","56.87","2.39"
"L5","IFCBEAM","W Shapes:W18x55:701426","0:19094","1","","79.07","3.27"
"L5","IFCBEAM","W Shapes:W18x55:701428","0:19127","1","","47.85","2.07"
"L5","IFCBEAM","W Shapes:W18x86:701429","0:19158","1","","68.08","4.54"
"L5","IFCBEAM","W Shapes:W18x86:701430","0:19189","1","","68.08","4.57"
"L5","IFCBEAM","W Shapes:W18x86:701828","0:19220","1","","30.21","2.00"
"L5","IFCBEAM","W Shapes:W18x55:702225","0:19251","1","","54.82","2.29"
"L5","IFCBEAM","W Shapes:W30x235:702228","0:19283","1","","202.59","37.70"
"L5","IFCBEAM","W Shapes:W12X26:702229","0:19355","1","","35.35","0.66"
"L5","IFCBEAM","W Shapes:W12X26:702230","0:19427","1","","13.79","0.21"
"L5","IFCBEAM","W Shapes:W18x55:702231","0:19459","1","","54.27","2.35"
"L5","IFCBEAM","W Shapes:W12X26:702233","0:19490","1","","49.07","1.03"
"L5","IFCBEAM","W Shapes:W8x10:702678","0:19521","1","","19.18","0.13"
"L5","IFCBEAM","W Shapes:W8x10:702679","0:19553","1","","24.57","0.17"
"L5","IFCBEAM","W Shapes:W8x10:702680","0:19584","1","","29.96","0.21"
"L5","IFCBEAM","W Shapes:W18x55:702900","0:19614","1","","95.14","4.10"
"L5","IFCBEAM","W Shapes:W12X26:703264","0:19648","1","","36.09","0.68"
"L5","IFCBEAM","W Shapes:W12X26:703265","0:19681","1","","14.54","0.22"
"L5","IFCBEAM","W Shapes:W12X26:703266","0:19714","1","","49.07","1.03"
"L5","IFCBEAM","W Shapes:W12X26:703301","0:19745","1","","35.11","0.67"
"L5","IFCBEAM","W Shapes:W12X26:703302","0:19777","1","","13.55","0.20"
"L5","IFCBEAM","W Shapes:W12X26:703303","0:19810","1","","47.32","0.98"
"L5","IFCBEAM","W Shapes:W12X26:704073","0:19842","1","","35.27","0.68"
"L5","IFCBEAM","W Shapes:W12X26:704074","0:19875","1","","13.72","0.23"
"L5","IFCBEAM","W Shapes:W12X26:704075","0:19908","1","","47.30","0.98"
"L5","IFCBEAM","W Shapes:W8x10:704083","0:19940","1","","19.11","0.13"
"L5","IFCBEAM","W Shapes:W8x10:704084","0:19972","1","","24.50","0.18"
"L5","IFCBEAM","W Shapes:W8x10:704085","0:20003","1","","29.89","0.22"
"L5","IFCBEAM","W Shapes:W18x55:704715","0:20033","1","","66.16","2.83"
"L5","IFCBEAM","W Shapes:W18x55:704739","0:20066","1","","55.23","2.39"
"L5","IFCBEAM","W Shapes:W12X26:704826","0:20099","1","","22.72","0.42"
"L5","IFCBEAM","W Shapes:W12X26:704827","0:20132","1","","15.32","0.25"
"L5","IFCBEAM","W Shapes:W12X26:704828","0:20165","1","","42.65","0.85"
"L5","IFCBEAM","W Shapes:W8x10:704836","0:20197","1","","8.14","0.05"
"L5","IFCBEAM","W Shapes:W8x10:704837","0:20229","1","","13.00","0.09"
"L5","IFCBEAM","W Shapes:W8x10:705038","0:20260","1","","17.86","0.12"
"L5","IFCBEAM","W Shapes:W12X26:705161","0:20358","1","","12.76","0.27"
"L5","IFCBEAM","W Shapes:W12X26:705367","0:20389","1","","25.30","0.38"
"L5","IFCBEAM","W Shapes:W12X26:705368","0:20422","1","","13.09","0.26"
"L5","IFCBEAM","W Shapes:W12X26:705369","0:20454","1","","39.37","0.78"
"L5","IFCBEAM","W Shapes:W8x10:705376","0:20486","1","","17.57","0.12"
"L5","IFCBEAM","W Shapes:W8x10:705377","0:20518","1","","22.06","0.16"
"L5","IFCBEAM","W Shapes:W18x55:705825","0:20548","1","","54.82","2.30"
"L5","IFCBEAM","W Shapes:W18x55:705860","0:20580","1","","53.72","2.32"
"L5","IFCBEAM","W Shapes:W18x55:705924","0:20611","1","","78.19","3.37"
"L5","IFCBEAM","W Shapes:W18x55:706036","0:20644","1","","51.82","2.21"
"L5","IFCBEAM","W Shapes:W12X26:706390","0:20707","1","","10.79","0.17"
"L5","IFCBEAM","W Shapes:W12X26:706391","0:20740","1","","47.27","0.99"
"L5","IFCBEAM","W Shapes:W18x55:706508","0:20771","1","","26.14","1.01"
"L5","IFCBEAM","W Shapes:W8x10:706550","0:20803","1","","23.94","0.17"
"L5","IFCBEAM","W Shapes:W8x10:706552","0:20835","1","","29.05","0.21"
"L5","IFCBEAM","W Shapes:W8x10:706554","0:20866","1","","28.74","0.20"
"L5","IFCBEAM","W Shapes:W12X26:707042","0:20929","1","","18.83","0.34"
"L5","IFCBEAM","W Shapes:W18x55:707211","0:20961","1","","20.28","0.84"
"L5","IFCBEAM","W Shapes:W18x55:707212","0:20991","1","","24.88","0.96"
"L5","IFCBEAM","W Shapes:W18x55:707213","0:21021","1","","20.23","0.83"
"L5","IFCBEAM","W Shapes:W18x55:707214","0:21053","1","","24.06","1.02"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707477","0:21191","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707479","0:21247","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707481","0:21279","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707483","0:21311","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707485","0:21343","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707487","0:21375","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707489","0:21407","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707491","0:21439","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707493","0:21471","1","","73.00","0.40"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:707495","0:21503","1","","73.00","0.40"
"L5","IFCBEAM","W Shapes:W18x55:708067","0:21539","1","","98.56","4.22"
"L5","IFCBEAM","W Shapes:W18x55:708090","0:21572","1","","98.56","4.22"
"L5","IFCBEAM","W Shapes:W18x55:708235","0:21605","1","","78.19","3.29"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708308","0:21745","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708309","0:21780","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708310","0:21813","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708311","0:21846","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708312","0:21879","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708313","0:21912","1","","78.19","0.43"
"L5","IFCBEAM","K-Series Bar Joist-Angle Web:20K6:708314","0:21945","1","","78.19","0.43"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708934","0:22089","1","","31.44","0.15"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708935","0:22123","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708936","0:22156","1","","73.00","0.41"
"L2","IFCBEAM","K-Series Bar Joist-Angle Web:16K6:708937","0:22189","1","","73.00","0.41"
