"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"Parking","IFCSLAB","Floor:Concrete 6:775238","0:29935","1","2105.63","202.87","127.93"
"Parking","IFCSLAB","Floor:Concrete 6:775265","0:29963","1","1987.00","199.58","120.72"
"Parking","IFCSLAB","Floor:Concrete 6:783937","0:31164","1","1938.17","196.03","117.76"
"Elevator Pit","IFCSLAB","Foundation Slab:FNDN-36:784139","0:31192","1","4730.01","291.45","1724.27"
"Elevator Pit","IFCSLAB","Foundation Slab:FNDN-36:784189","0:31222","1","4403.11","278.05","1605.10"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784236","0:31270","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784247","0:31313","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784402","0:31356","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784403","0:31399","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784510","0:31442","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784511","0:31485","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784512","0:31528","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':784877","0:31571","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785080","0:31614","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785081","0:31657","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785082","0:31700","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785445","0:31743","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785446","0:31786","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785487","0:31829","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785488","0:31872","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':785596","0:31917","1","52.84","8.20","160.51"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x25':785963","0:31960","1","33.81","6.56","96.56"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786085","0:32003","1","33.81","6.56","74.15"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786119","0:32067","1","33.81","6.56","74.15"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786141","0:32110","1","33.81","6.56","74.15"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786193","0:32153","1","33.81","6.56","74.15"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786412","0:32196","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786476","0:32239","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786510","0:32282","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786555","0:32325","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786614","0:32368","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786615","0:32411","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786672","0:32454","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786771","0:32497","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786886","0:32540","1","33.81","6.56","74.30"
"Elevator Pit","IFCSLAB","SFD_Round:24x24x20':786957","0:32583","1","33.81","6.56","74.30"
"Parapet 2","IFCSLAB","Floor:1 1/2 Metal Roof Deck NO Concrete:788429","0:33340","1","2078.42","206.15","31.57"
"Parapet 2","IFCSLAB","Floor:1 1/2 Metal Roof Deck NO Concrete:790099","0:33844","1","1939.36","196.03","29.46"
"Parapet 2","IFCSLAB","Floor:1 1/2 Metal Roof Deck NO Concrete:790567","0:34400","1","665.67","103.35","10.11"
"L4","IFCSLAB","Floor:NW Concrete on Metal Deck:792679","0:38725","1","82777.43","1573.18","5029.25"
"L5","IFCSLAB","Floor:NW Concrete on Metal Deck:792732","0:39011","1","71651.70","1820.79","4353.29"
"L4","IFCSLAB","Floor:NW Concrete on Metal Deck:796616","0:47905","1","28791.36","957.79","1749.26"
"L5","IFCSLAB","Floor:NW Concrete on Metal Deck:797384","0:49723","1","27625.37","912.50","1678.42"
"Parking","IFCSLAB","SFD_Pile_Cap_Rectangle:36x36x24 Pile_24:799693","0:50331","1","193.75","9.84","23.54"
"Parking","IFCSLAB","SFD_Round:24x24x25':799694","0:50375","1","33.81","6.56","99.43"
"Parking","IFCSLAB","SFD_Pile_Cap_Rectangle:36x36x24 Pile_24:799695","0:50400","1","193.75","9.84","23.54"
"Parking","IFCSLAB","SFD_Round:24x24x25':799696","0:50444","1","33.81","6.56","99.43"
"Elevator Pit","IFCSLAB","SFD_Round:30x30x25':799862","0:50489","1","52.84","8.20","160.51"
"L1_43_High","IFCSLAB","Floor:Concrete 12"":935200","0:52470","1","12967.72","486.71","1575.74"
"L1_43_High","IFCSLAB","Floor:Concrete 12"":935208","0:52536","1","9659.24","405.34","1173.72"
"L1_43_High","IFCSLAB","Floor:Concrete 12"":935216","0:54781","1","11903.60","441.47","1446.44"
"L1_35_Low","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":585072","0:200","1","8398.98","251.80","843.87"
"L1_35_Low","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":585174","0:524","1","6787.16","251.80","654.72"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":585255","0:728","1","1360.29","55.77","137.74"
"L1_37_Med","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":586051","0:916","1","7996.68","243.74","809.75"
"L1_37_Med","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":586052","0:944","1","6597.26","243.74","668.04"
"L1_37_Med","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":586053","0:971","1","5379.33","243.74","544.71"
"L1_37_Med","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":586054","0:1114","1","5930.87","243.74","600.56"
"L1_35_Low","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586191","0:1141","1","4054.25","251.80","489.88"
"L1_35_Low","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586291","0:1360","1","8158.03","251.80","990.10"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586457","0:1528","1","9544.55","307.58","1156.33"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586570","0:1661","1","4774.57","251.80","580.17"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586648","0:1728","1","19861.53","251.80","2411.87"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586801","0:1815","1","19054.92","243.74","2281.21"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586802","0:2057","1","4086.97","243.74","496.62"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":586803","0:2109","1","19094.69","243.74","2282.94"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":587032","0:2370","1","4426.65","73.82","537.89"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":587033","0:2400","1","1860.14","57.41","226.03"
"L1_37_Med","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":587317","0:2557","1","6757.02","243.74","747.01"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":587487","0:3101","1","3846.99","78.06","467.46"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":596357","0:3237","1","6486.41","232.39","788.18"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":596358","0:3307","1","5832.31","232.39","708.70"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":596479","0:3426","1","16392.52","232.39","1991.90"
"L1_43_High","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":596480","0:3453","1","17154.97","232.39","2084.55"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":600777","0:3480","1","1989.98","55.77","483.61"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":600852","0:3552","1","12392.28","226.23","3005.90"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":600929","0:3593","1","5491.50","154.88","1334.57"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":601097","0:3635","1","4530.93","197.67","1101.13"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":601178","0:3684","1","648.66","46.07","157.64"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":601278","0:3742","1","8518.17","199.46","2067.72"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":602901","0:3860","1","4084.53","70.96","986.90"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":603164","0:3887","1","1265.82","46.07","307.63"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":603528","0:3948","1","4194.11","100.07","1019.27"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 18"":675720","0:15099","1","1806.99","55.77","329.36"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":676066","0:15126","1","725.37","55.77","88.14"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":676632","0:15204","1","11320.54","262.88","2751.18"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 18"":676861","0:15256","1","1662.13","55.77","302.95"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":677214","0:15296","1","5713.28","166.09","1388.47"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 18"":685938","0:16410","1","909.64","46.07","165.80"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 18"":691308","0:18535","1","1572.35","63.84","279.93"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":691309","0:18581","1","1727.94","63.84","174.97"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":691310","0:18630","1","2053.59","63.84","207.95"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":759479","0:26974","1","1524.89","55.77","154.41"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 24"":794203","0:45780","1","4307.80","78.06","1046.90"
"L1_35_Low","IFCWALLSTANDARDCASE","Basic Wall:Concrete 10"":795061","0:45812","1","6284.70","251.80","612.03"
"Elevator Pit","IFCWALLSTANDARDCASE","Basic Wall:Concrete 12"":801835","0:50790","1","1577.58","57.41","191.70"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606069","0:3982","1","","38.00","60.60"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606163","0:4038","1","","46.07","73.46"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606268","0:4069","1","","46.07","73.46"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606331","0:4099","1","","57.41","91.56"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606358","0:4130","1","","46.07","69.10"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606564","0:4160","1","","46.07","69.10"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606574","0:4190","1","","46.07","69.10"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606584","0:4220","1","","46.07","73.46"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606596","0:4250","1","","38.00","56.24"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:606606","0:4281","1","","38.00","56.24"
"Elevator Pit","IFCCOLUMN","Concrete-Rectangular-Column:CC24x24:607456","0:5258","1","","38.00","60.60"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608201","0:5573","1","","202.73","17.80"
"L1_37_Med","IFCCOLUMN","W Shapes-Column:W14x109:608202","0:5633","1","","202.73","17.80"
"L1_43_High","IFCCOLUMN","W Shapes-Column:W14x109:608203","0:5660","1","","191.38","16.80"
